x,y,theta
0.0,1.0,0.0
0.25108498630385784,0.0,0.7489150136961422
0.23515104574284207,0.2724659044762755,0.4923830497808825
1.0,0.0,0.0
0.0,1.0,0.0
0.4939465431075768,0.0,0.5060534568924231
0.0,1.0,0.0
1.0,0.0,0.0
0.0,0.6111292612825782,0.38887073871742184
0.0,0.0,1.0
0.09710995414279933,0.6151388581572655,0.2877511876999351
1.0,0.0,0.0
1.0,0.0,0.0
0.0,1.0,0.0
0.0,0.2474065798518177,0.7525934201481823
0.0,1.0,0.0
1.0,0.0,0.0
0.41194508830515214,0.10511409341753952,0.48294081827730834
0.0,0.43052591225970915,0.5694740877402908
0.5091716875963338,0.0,0.49082831240366626
0.0,0.0,1.0
1.0,0.0,0.0
1.0,0.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.7795451390924296,0.0,0.22045486090757038
0.36863604865667654,0.38290006292635215,0.2484638884169714
0.8978766407965495,0.10212335920345053,0.0
0.4462718623681274,0.5537281376318727,0.0
0.0,1.0,0.0
1.0,0.0,0.0
0.0,0.0,1.0
0.6186238928689037,0.0,0.3813761071310963
0.6896358919811507,0.0,0.3103641080188492
0.2682473519962085,0.0,0.7317526480037915
0.0,1.0,0.0
0.49673060794416446,0.5032693920558355,0.0
0.4803190830407907,0.5196809169592094,0.0
0.32204182358860806,0.0,0.677958176411392
0.0,0.5695391814850296,0.4304608185149704
0.6035935899979585,0.0,0.3964064100020415
0.7804057191986301,0.21959428080136992,0.0
0.5930689185296125,0.40693108147038753,0.0
0.3922872601906039,0.6077127398093961,0.0
1.0,0.0,0.0
0.0,1.0,0.0
0.0,0.0,1.0
0.33194583339427736,0.6680541666057227,0.0
0.0,1.0,0.0
0.0,0.0,1.0
0.9947832224909818,0.005216777509018162,0.0
0.0,0.7386276276841848,0.2613723723158152
0.0,1.0,0.0
0.1056907136186563,0.0,0.8943092863813437
0.0,0.0,1.0
0.3001496700564677,0.026256580128850626,0.6735937498146817
0.0,0.5816457527194887,0.41835424728051135
0.38056909646784276,0.0,0.6194309035321572
0.4173669504041422,0.0,0.5826330495958579
0.45298227626360704,0.5470177237363929,0.0
0.0,1.0,0.0
0.0,0.7148904321132669,0.28510956788673314
0.5867179441912628,0.3553472828912195,0.05793477291751771
0.5783154395583276,0.1714765644323093,0.25020799600936305
0.11481820048836477,0.8839185038033646,0.001263295708270656
0.0,0.4813099225454245,0.5186900774545755
0.3448843962924649,0.4910671368608875,0.1640484668466476
0.7538478432068946,0.0,0.24615215679310545
0.046865570885411614,0.9531344291145883,0.0
0.4012357524800448,0.0,0.5987642475199552
1.0,0.0,0.0
0.6253358906550276,0.0,0.37466410934497235
0.0,1.0,0.0
0.652501486779931,0.03584581490569236,0.31165269831437664
0.2542408432224808,0.7457591567775192,0.0
0.821642628310403,0.17835737168959703,0.0
1.0,0.0,0.0
0.0,1.0,0.0
1.0,0.0,0.0
0.8281427675103977,0.0,0.1718572324896022
0.0,0.0,1.0
1.0,0.0,0.0
1.0,0.0,0.0
0.0,1.0,0.0
0.5867812856395876,0.4132187143604123,0.0
0.0,0.7503717061155583,0.24962829388444177
0.9061279600299688,0.0,0.09387203997003118
0.0,0.0,1.0
0.23001073685637208,0.4582776920147565,0.3117115711288713
0.1522366011604891,0.3949843382444128,0.4527790605950981
0.6092929699026951,0.0,0.3907070300973049
0.39236259691061626,0.2690694196649229,0.33856798342446087
0.43699578074767836,0.4440899316590324,0.11891428759328922
0.0,1.0,0.0
0.1357392645087402,0.3930871929447633,0.47117354254649657
0.0,1.0,0.0
0.0,0.663921549624976,0.33607845037502393
0.0,1.0,0.0
0.6029555774132923,0.0,0.39704442258670786
0.0,1.0,0.0
